Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
2016-02-24,1.0110275689223058,1.0832080200501253,1.2175438596491228,1.0260194521588728,1.071738904446704,1.1829152810642036,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-25,1.016919191919192,1.0757575757575757,1.2215488215488215,1.0276482673789056,1.0722526015645064,1.1855852326714384,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-26,1.0625994694960212,1.112864721485411,1.2765694076038905,1.0649960031199468,1.114264061408527,1.2372918007098035,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-02-29,1.0725067385444744,1.1121293800539085,1.290116801437556,1.067270629401122,1.1196859802168198,1.2488651722117523,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-02,1.0654054054054054,1.0945945945945943,1.2867567567567568,1.0573996637764975,1.1110252862996568,1.2439697250594068,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-03,1.033245382585752,1.0601583113456463,1.2495162708883023,1.026419016640858,1.076580947692746,1.207398594170123,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-04,1.006201550387597,1.0306201550387597,1.2175279931093883,1.0042554065684677,1.0491521353925746,1.176457437267491,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-07,1.0051948051948052,1.0305194805194806,1.217142857142857,1.007750078176617,1.0494020595598752,1.1765826598003195,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-08,1.0126315789473683,1.0411842105263158,1.2264035087719298,1.0171899571487986,1.0571899831679794,1.1857664443218363,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
2016-03-09,1.011111111111111,1.042063492063492,1.2257936507936509,1.0184679301223885,1.0568041922994205,1.1857435633331963,2016,Q1,-0.0419133682697743,-0.0295112314260238,-0.2370691879451909,0.2742725024114041,-0.2027320623824666,0.0,0.0168733522241455,0.0118076745214472,-0.7815583203956377,-0.8125171851163,-0.7488643367031431,-0.7414096202788931,-0.7414096202788931,-0.0253451506648845
