Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
2022-07-28,1.008571428571429,0.9875776397515528,1.0060662525879918,1.0045381067397188,0.9965784797929652,0.992406747507032,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-07-29,1.0024630541871922,0.9810344827586208,0.99692118226601,0.9966276962974993,0.9891313540014895,0.984380975386548,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-01,1.0128109452736318,0.9919776119402984,1.006198175787728,1.0053545007397244,0.9990712230238676,0.9943667679801552,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-02,1.0017241379310344,0.9839285714285714,0.9957307060755336,0.9962768884183436,0.9902540466169718,0.9850759510196772,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-03,1.0001230012300124,0.9863468634686346,0.994239442394424,0.9959511909383044,0.9900802103442068,0.984393334975716,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-04,0.9992619926199262,0.9897908979089792,0.9936654366543666,0.9966873380404307,0.9910249522161868,0.9849050289109386,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-05,1.008695652173913,1.0019254658385093,1.0023809523809524,1.0053937043977224,1.0007904428798249,0.994866908090235,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-08,0.9964373464373464,0.992936117936118,0.9902948402948404,0.995318001827284,0.9907037453987902,0.9843960969860576,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-09,0.9939877300613496,0.993435582822086,0.9880981595092024,0.9951700704279623,0.9904892857924448,0.9837394539646466,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-10,1.003717472118959,1.0038413878562578,0.9969640644361834,1.0041199128747442,1.0002789042601052,0.9937049107987492,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-11,1.0028465346534654,1.0038366336633664,0.994822607260726,1.0023540647175144,0.9991322748126,0.992721796742835,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-12,0.9848300970873788,0.9863470873786409,0.9750809061488672,0.986001628268509,0.981661967344142,0.9743162799284664,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-16,0.9915853658536584,0.9923170731707316,0.9798170731707316,0.99248204825269,0.9877409849442442,0.9797553031787748,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
2022-08-17,1.029987293519695,1.031766200762389,1.0198009318085557,1.0278985232880733,1.0263813484256867,1.0201545934507286,2022,Q3,0.0455498258788686,-0.0036870651016602,-0.0448880808487707,0.0360473885877916,-0.0202618579488481,0.0112215398233406,0.0094002806014088,0.0700643467933959,-0.4272690763634466,-0.8524367355747822,-0.8199996339074884,-0.8199996339074884,0.0103290927344232,0.0039823159530387
