Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,당기손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익
2023-11-02,1.0537179487179489,1.079102564102564,1.0459401709401708,1.0438937287400731,1.0628946475802603,1.0578922662829928,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-03,1.013167701863354,1.0447826086956522,1.0142028985507243,1.0093883654156195,1.0270392592215,1.02421753577728,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-06,0.9650887573964496,0.9946745562130176,0.9676528599605524,0.9685872735272908,0.9804770622593882,0.9765294764136562,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-07,0.9947368421052633,1.0259485924112608,1.0017543859649125,1.0014583526399294,1.012738779190679,1.0096690620744193,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-08,0.99938195302843,1.0334981458590853,1.0124845488257108,1.009295793567974,1.0205865012288489,1.019009053864784,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-09,0.9949382716049384,1.028827160493827,1.0123045267489712,1.006586158582314,1.017485897142189,1.0171690174057886,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-10,0.9866421568627451,1.0179534313725491,1.006045751633987,0.9993330098111708,1.0090515847933177,1.009372133996758,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-13,0.9894607843137256,1.0143995098039216,1.0071078431372549,0.9994542807545944,1.0081895290987155,1.0090648509148972,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-14,0.9825665859564164,0.9998789346246972,0.9961259079903148,0.9896535590866984,0.9963663357054358,0.9969518950193864,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-15,0.9739856801909308,0.983054892601432,0.983472553699284,0.9799397437893812,0.98380345906132,0.9832437429452402,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-16,0.9788095238095238,0.9786309523809524,0.982718253968254,0.9816780895735402,0.9832266822661188,0.9815288278434536,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-17,0.991466346153846,0.985877403846154,0.993790064102564,0.992732337978143,0.9933778530773384,0.991262781918379,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-20,0.9899038461538462,0.9850360576923076,0.9952123397435898,0.994053731073026,0.9940085337366394,0.9915492480849896,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-21,0.9853221957040572,0.977565632458234,0.9895982498011135,0.9893116010278606,0.9881399534781676,0.984959691106772,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-22,0.990909090909091,0.9790071770334928,0.9931618819776714,0.9931913978851812,0.9914083127864768,0.9877319210859874,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-23,0.983451536643026,0.9680260047281324,0.9828999211977936,0.9848239928742856,0.9816238680795002,0.9768416322839444,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-24,0.998682634730539,0.981437125748503,0.9970459081836328,0.9981981362814166,0.9950739695186704,0.9900475750234772,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-27,1.005294825511432,0.9884476534296028,1.002847974328119,1.0024569515539703,0.9998767134498716,0.99498320773967,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-28,1.0048076923076923,0.9901442307692307,1.0025240384615384,1.0010244253356804,0.9988011348820984,0.9939910090689682,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-29,1.011757575757576,1.0005454545454546,1.0118787878787878,1.0077874266571432,1.0065828767801563,1.0023453681704424,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-11-30,1.0012004801920769,0.9941176470588236,1.003001200480192,0.9984526511982198,0.997209546305891,0.9929577233325386,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-12-01,0.9970131421744324,0.9912783751493428,0.9991437674233372,0.9948299691574948,0.9931635369735072,0.9885988841613153,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-12-04,1.0008393285371702,0.9941846522781774,1.0034772182254197,0.9986978589125144,0.997046918378993,0.9924122085257348,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-12-05,1.0025240384615384,0.9974759615384616,1.006670673076923,1.0008988340250582,0.9994966499904716,0.9949683782455332,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-12-06,1.0020432692307693,0.998858173076923,1.0073317307692309,1.000735409656866,0.9995445880866172,0.9951333494505978,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
2023-12-07,1.0102065613608748,1.0105710814094775,1.0187727825030377,1.0095555890324326,1.0094775703566077,1.0058184940706918,2023,Q4,-0.0266183150302137,0.0,-0.042364197052406,-0.0282582825236086,0.1012343721744817,0.091749191248786,-0.6485114510029462,1.9566803840877915,1.6452064380685796,-5.944929908392513,0.1108924547122642,0.091749191248786,0.0903165148113096,1.3979289940828403
