Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,예수부채,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,파생상품관련손익,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익
2024-06-18,1.0059353869271224,1.0156649135987978,1.0280866516403706,1.00528576983425,1.012793286265462,1.0177068942196366,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-19,0.9994025392083644,1.006908140403286,1.0201643017176998,0.999410566694581,1.0061001250530697,1.0112452980101845,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-20,0.9877581120943952,0.9928466076696164,1.005408062930187,0.9892663407908552,0.9941070825072044,0.9986144130289492,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-21,0.9912592592592592,0.9964444444444444,1.007679012345679,0.9948152473408484,0.9986657803779756,1.002952610807141,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-24,0.9839941262848751,0.9873348017621144,0.9966470876162506,0.9885866543312846,0.990832014079263,0.9943089411760522,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-25,0.977802037845706,0.9795487627365356,0.9861717612809316,0.98359767161525,0.9838757489548476,0.9860963311025032,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-26,0.9823486506199854,0.9827498176513494,0.987016776075857,0.9883408797290753,0.987359254705125,0.9886392028931322,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-27,0.9852662290299052,0.9838074398249452,0.986725018234865,0.9904607197783344,0.9885631352093988,0.9890116880441768,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-06-28,0.96811697574893,0.9646932952924394,0.9655254398478365,0.9742766710767,0.969875725462592,0.9682206500573588,2024,Q2,0.0175048353615425,0.0,0.0261981842603571,0.0177754028739161,-0.2054491614605413,-0.2298428715664189,0.0034903803668973,0.0859152318382971,0.0382375081016406,-0.0058021625196836,0.003789076507956,0.0107606906454662,-1.7071518693140315,-0.2278469215182185,-0.2298428715664189,-0.242470144596692,0.3453357182168408
2024-07-01,0.9849097472924188,0.9768592057761732,0.9780264741275572,0.988737974115248,0.9835155432309616,0.9807572436698182,2024,Q3,-0.0133506559946829,0.0,0.0349936344324124,0.0310438412550082,0.3508847957595891,0.3433469420546005,-0.0469456837154658,-0.0183179920873908,-0.0156059598347989,-0.0060519079563672,-0.010406858649526,-0.0135204838992921,0.9904216358343508,0.3661867537525971,0.3433469420546005,0.7205073683172918,-0.1097679460824921
