연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,영업비용
2019,Q4,0.019022367988865696,0.02428189461607655,0.045361916987670226,0.05510049105141457,0.050638006220205645,-0.004449934836545655,-0.0211455330340381,-0.7273439910180095,-1.592030631052637,-2.0072391688771,-2.0072391688771,0.0,-0.007571227163839733,0.01837372263959658,0.01661781848401578
2020,Q1,-0.015268725559620777,-0.02396994662191554,-0.041133669384076366,-0.052718984205636366,-0.04743693079123734,0.003027906128862057,-0.03845889153724191,4.557297076717614,-8.461797791461695,-5.389436001536183,-5.389436001536183,0.0,0.004563942900759788,-0.01788584622873668,-0.016664870870532367
2020,Q2,-0.0028758044556018714,0.018801048798305908,0.01167998016772942,0.03365849231442808,0.02357159575482748,0.013588851547930991,-0.020183031776218385,-0.15654945678476662,-0.4820153337605517,-0.4820154675415983,-0.4820154675415983,0.0,0.015135173944606173,0.013152451600654258,0.012602506079785636
2020,Q3,-0.002162216843151432,0.02202719399324149,0.06381375397944478,-0.0009453070539996444,0.028430158043403653,0.01496255243380018,0.04166003214526426,-0.1816329114925881,-0.015259735925129858,-0.015268326818203781,-0.015268326818203781,0.0,0.014804237164054435,0.012040513118817708,0.010511882598343902
2020,Q4,0.03929403544720911,-0.005589476108752267,-0.05342394227690783,0.04046733641996969,-0.00358817625215313,-0.007826888387675868,0.015398191248424453,-0.4239493624367151,-1.3005468185104845,-0.8991466395486317,-0.8991466395486317,0.0,-0.0013562130577288167,0.009979846125512948,0.012120614802119123
2021,Q1,-0.022315816182603143,-0.011924036048903464,-0.006674972801770984,-0.012044323050405814,-0.009650933540577666,-0.01447617486712105,-0.0034029959872098337,2.072089919331145,-7.80012029170739,19.311486363360263,19.311486363360263,0.0,-0.0010926039242230567,-0.017319207806202885,-0.018736657128555767
2021,Q2,0.026584928305867672,0.018405183557860694,-0.12126464020631766,0.1222428349032656,0.013373134531683206,0.024082607232167375,-0.020910041047530692,-0.04039893435343944,-0.11234692929891521,-0.11235151979138003,-0.11235151979138003,0.0,0.026380215016967412,0.025578586906210843,0.027135036137692303
2021,Q3,0.0059934846267695185,0.014326556332088458,0.11295073852766047,-0.05630314366820566,0.00931471971183595,0.019922041412469893,0.0415075373967273,-0.26214299951593156,-0.2295221630454819,-0.2295203474171128,-0.2295203474171128,0.0,0.019890663430769173,0.011591287608192724,0.011454393462091872
2021,Q4,0.05318519961022039,0.026387603580405594,0.0855747351419911,-0.007918962715688482,0.03204928591863632,0.020132334947359665,0.0010225727028825293,-0.6450402889691581,-0.48804704878174954,-0.42896809259575064,-0.42896809259575064,0.0,0.015743085163529624,0.03385931879188275,0.034492295294567654
2022,Q1,-0.015022534928756603,-0.0019342444746198728,-0.008412735767831081,0.008280341034535565,0.000773997054358766,-0.004961379437880997,-0.013081984591415519,3.6737660360948032,2.341128548422748,1.9938433735862349,1.9938433735862349,0.0,-0.006010066981626205,-0.008537411455150856,-0.009908876122082355
2022,Q2,0.04367938511451808,0.029480329254757853,0.09700852115759928,0.026292837991966023,0.05779952506436392,-0.0023558823305563914,-0.019646127963589888,-0.29405456706668864,-0.3828175355495028,-0.937498880985449,-0.937498880985449,0.0,0.001892953759987881,0.030013091370917122,0.028907660979320626
2022,Q3,0.027435917191915404,0.029357848766070616,-0.09659871627368999,0.08247394645366524,-0.00026746459050430715,0.06467056627541501,0.016010263284410353,0.06630069098230207,-0.004339690249631767,8.831846456048453,8.831846456048453,0.0,0.02017232130488722,0.03294709232678561,0.03519242965837055
2022,Q4,0.015846225916812173,-0.020526368751152213,-0.07691424806503111,-0.032983822428781506,-0.051326212286884054,0.013947123126488936,-0.003783290604472467,-0.6565935933646887,-0.7229594222156602,-0.5500788758423483,-0.5500788758423483,0.0,0.018601765364776535,-0.00010495292656653721,0.004143034545396107
2023,Q1,-0.016776106577371275,-0.001014439781162113,0.041322481392718435,-0.005892461814171579,0.013289592970144426,-0.01599392384480358,0.010097930860139215,2.492787531383012,3.7486093685811674,1.959137417432975,1.959137417432975,0.0,-0.018149565540219292,-0.011773452865974199,-0.014125183902665817
2023,Q2,0.00020760395946584076,-0.02615467702761687,-0.06516400341016748,-0.05662313497843163,-0.06018903653549468,0.010547493061255908,-0.028485856444065538,0.049674990918295636,-0.07725634976490148,-0.046300783142888435,-0.046300783142888435,0.0,0.025215405405605962,-0.008263701838051696,-0.004553867121341981
2023,Q3,-0.0047068622245025615,0.041315474231905513,0.12536638437106684,0.02798197371312705,0.06842574800200873,0.014126561373704272,0.04134693937582812,-0.5250598884699968,-0.42185373912646873,-0.3097343102063562,-0.3097343102063562,0.0,0.009032345892431959,-0.42086122494570655,-0.11288861624022084
2023,Q4,-0.0038203037632494885,-0.016415893533656356,0.004665146803319642,-0.06718146033188932,-0.03575336265142848,0.004016053803668207,-0.017310873046393116,0.014578660685677702,-0.5408430703961151,-0.5353162146374822,-0.5353162146374822,0.0,0.000252366987049113,2.663009918888704,1.8366357797384816
2024,Q1,-0.019980573939570423,0.000854302985863642,0.0747776748830864,-0.05416538425104134,0.004602898846933323,-0.002949571905919157,0.022378162683201808,1.0057405398246768,3.449515100607079,2.618173084784564,2.618173084784564,0.0,-0.012268956129914299,-0.39757241393641163,-0.6615098404071966
2024,Q2,0.011280256216295692,0.004285604275378496,-0.021754654738667556,-0.0007966516197925877,-0.011015904450057401,0.01993037346673976,-0.031211367061796502,-0.08866783654542088,-0.12235358222370962,-0.11165971341492698,-0.11165971341492698,0.0,0.0011010839094862668,-0.08478007325501935,-0.02595107479443992
2024,Q3,-0.02188623382095134,-0.016664010597142953,0.10386666994756033,-0.18001678377824526,-0.04309649509329938,0.009541442581192827,0.047641358434015624,-0.05573235095776041,-0.002691181431092593,-0.014969793322734515,-0.014969793322734515,0.0,0.014110345713829409,-0.3707886077171857,0.05649612191420417
