연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
2018,Q3,0.020482493569768057,0.06439742368593393,0.19336571838031014,0.9898327581363733,0.24989336253507144,-0.01112587366326323,0.011067899229604272,0.10518655058720627,0.21927236886880563,-0.4655640874423824,-1.1478504573769985,-1.1478504573769985,0.09295009733638082,-0.003934261119167393,0.11811713606050489
2018,Q4,0.03265014441226288,-0.03516239351571293,-0.1635619430199683,0.05417351042380414,-0.1389602019814291,-0.004953923028033547,0.001728071451327029,-0.044301246085983625,0.12452016644553043,-0.5855805334281896,-0.8602973273358653,-0.8602973273358653,2.5154016546125035e-05,-0.02780381898884654,-0.046169269452493
2019,Q1,0.022764226551972966,0.01941687884281551,0.014003346094928038,0.44210477384406377,0.07322386962662675,0.019245329083374507,0.002979293128174909,0.009852620181354466,-0.14376229342824542,1.2278840287948594,-24.16627184128687,-24.16627184128687,0.00012097579845615769,0.004707392701202684,0.016232062521863044
2019,Q2,-0.0031329548732217383,-0.005834824907164693,-0.049460170440021045,-0.027162095090121574,-0.045315409981396826,0.04425620541683406,0.007070866088777716,-0.01688692720091234,0.3086178162916473,0.3489847711285812,0.2326566491227502,0.2326566491227502,0.0007293598963891146,0.011452834863424188,-0.019903357663123122
2019,Q3,0.05199504960874535,0.056076601462592635,0.2057587139456425,-0.03801633952379324,0.15958424715313857,0.11507537975474968,0.024001355656267043,0.06357989725147273,0.09207777960826213,0.769926722939402,1.5308591415108932,1.5308591415108932,0.004920763975315934,0.046940475188361086,0.07050989401954033
2019,Q4,0.03214484043577981,-0.023278219342771744,-0.0568161579746127,-0.05862348067669487,-0.057100154954199844,-0.5426734825855742,-0.011409665717648454,0.20044678261588822,0.34355056935603145,-6.036869055643233,-6.641670833664462,-6.641670833664462,0.02801823881130039,-0.2668700537546984,0.20516647408763
2020,Q1,-0.01816479632224499,0.008636480171355876,-0.06387163388325501,-0.05862743127771697,-0.06304890778051442,0.21700746794753822,0.03262918340984711,-0.19005140348989902,-0.016421948239433326,-1.219141096549999,-1.1493188559648688,-1.1493188559648688,0.008509228100958444,0.368031273901112,-0.20002400861655834
2020,Q2,0.01969505174834607,0.020634430758226463,-0.14917051235505674,-0.05578920618166405,-0.13445144217565708,0.08914044753633155,0.0677314377354632,0.001580533245648219,-0.14858683175840615,-0.3950188431623869,-0.38773253394298757,-0.38773253394298757,0.010211484578956265,0.057362478466640665,-0.010769200649556332
2020,Q3,0.03746022283392203,0.048295647621361626,0.1046064700868845,0.1625782201188788,0.11457461553441362,0.18485637879686,0.031979177362648326,0.035043410980261314,0.29906441283419216,0.7835636337127596,1.2586218119524095,1.2586218119524095,0.004567123898692627,0.05411809381045152,0.03868081755019803
2020,Q4,-0.020908387567777464,0.04970174169341246,0.19107952935025718,1.256325961305889,0.38213570415776976,-0.5995818157416161,-0.038686414849116835,0.24103673433660422,0.4243937007729557,-3.9153640451661054,-4.728484682614264,-4.728484682614264,0.0028770263134623164,-1.2053101843361929,0.2702584909457306
2021,Q1,0.022636481526169705,0.0292614450694777,-0.024333767766956282,0.08137743306689194,0.006617835551982587,0.3896842541552725,0.03791749899376651,-0.13197612242865464,-0.255893370921378,-1.3771292667820365,-1.273574659418858,-1.273574659418858,0.0029329248308824774,-5.85359341049757,-0.1352507881956998
2021,Q2,0.043748445988019746,0.01634710057466271,-0.05957644088228242,0.06627387886641523,-0.019991577638754365,0.3569897382785292,0.02981950804378375,0.003998545690055755,0.2685449419329977,0.09325941458486331,0.24890368848492161,0.24890368848492161,0.0014650267115157156,0.02492175965711585,0.0045265189155723196
2021,Q3,0.05885861788440727,0.13233723995748536,0.3041123642777479,0.021574945141047852,0.20742053837826702,0.5910777688502451,0.10584686412514421,0.10297573733563126,-0.00882321338829195,0.5175411058448942,1.2456662314313194,1.2456662314313194,0.002025102333302886,0.18182501687735164,0.10069407207882408
2021,Q4,0.21142438475649117,0.1526942115247627,0.3489257503238037,0.6718107299903031,0.4424175035676774,0.15928759536272286,0.04108712876771925,0.22703253916293953,0.31503990004556615,0.21171397918021406,-0.5196533435955402,-0.5196533435955402,0.0012216130342950215,3.1028249177765534,0.2697170185534157
2022,Q1,0.22105746477762844,0.17070566002307674,0.013937256096401507,0.4207798648117118,0.15047352049725782,1.6517224301778324,0.18150392705858942,-0.19632032485855022,-0.029640223921199027,6.679805947925874,9.807210528092943,9.807210528092943,0.0008163331320889533,-0.6233576803861862,-0.17984251562941156
2022,Q2,0.032500799416281145,0.003354403003371642,-0.05820551941660779,0.0871973628585363,0.002056650817295891,0.058228659403427585,0.004028846356292304,0.48025743192179715,0.11319595258821025,-0.910637334875019,-0.9071815223543075,-0.9071815223543075,-0.002959271657756113,-0.29579446997761416,0.47125178131785295
2022,Q3,-0.00015573961112502754,0.020433195486152078,0.08689984719388444,-0.007242073632083179,0.04456763902746652,0.03983809458866938,0.007915133899089044,0.03468228444342136,-0.11870235828186648,-0.19252527680069753,-0.2759954657779209,-0.2759954657779209,0.0008381893197115797,0.01049095137030398,0.034153320099929996
2022,Q4,-0.11921410869073001,-0.10233229580754755,-0.08159538481009887,-0.15917301659594973,-0.11474902208926607,-0.33384576737275484,-0.09565778405002734,-0.14812116494156924,0.35047439729019714,-0.10838995135716978,2.6957804192568298,2.6957804192568298,0.0002288538420747166,1.4416463709672271,-0.15230023934033365
2023,Q1,0.08866720253130445,0.01694523563722461,0.022899042071060416,0.0012298251712714592,0.0141031861694767,0.07533866854293825,0.018440705406222113,0.07413999589166909,-0.20663663209055227,0.533724040602771,-0.5662808943301325,-0.5662808943301325,0.0005226409938494658,-0.6246302722518489,0.07894713618070948
2023,Q2,0.029186251688505305,0.028349784336243244,0.06299744896325765,0.043630535645895696,0.05523592631951524,0.06451441244911593,0.01426270724482781,0.0460634709672989,-0.09416647041707005,-0.2444277416156605,-0.2464290263502329,-0.2464290263502329,-0.0031232453826367523,-0.0013300227867141245,0.04891401963290232
2023,Q3,0.006546913491240591,0.02775014879334825,0.09014213822716366,-0.011473667399421572,0.049866262351264234,0.06546722121182769,0.015694229668921977,0.033444842249114926,0.15535902187085782,0.19094267454159186,0.078059195325485,0.078059195325485,0.0004994881659410311,-0.40340169551024063,0.03268917750338196
2023,Q4,-0.011978777056045997,-0.02101857680635444,0.01583682834053657,-0.031966987765634,-0.002003406173962441,-0.1470814437198278,-0.031732850502952825,1.712515346098201,0.11521813417038329,-2.4666143648013312,-3.138952101081188,-3.138952101081188,0.0008189795979034464,-1.3527167979973302,1.630698212412335
2024,Q1,0.01981036950521009,0.01805483597982782,-0.03300179063059794,0.11138708638610528,0.01926584316336588,0.07579695848556645,0.017351531975740686,-0.7437727477533806,-0.08800005010103107,-1.8620376444554299,-1.6170889361315113,-1.6170889361315113,0.0008847178801743016,-4.774174745136278,-0.7443581823904872
2024,Q2,-0.006873838619256389,0.005855905085094593,0.028589714706475977,-0.012863053601036567,0.012227935964659764,0.014960818584509372,0.002148323898660154,0.0060493479065852895,-0.05624163013281813,-0.7407468774813752,-0.8306279328397927,-0.8306279328397927,-0.004039339747580195,-0.8379285933229628,0.023114021124435613
2024,Q3,-0.004830395096220963,0.007959506044648457,0.02536460048985978,-0.020489731085242546,0.007714124106416698,0.034135233554108746,0.008103718145989536,-0.039731692351138936,-0.2177450239407146,0.7532611289838957,1.3157773349731148,1.3157773349731148,0.00019716928944557566,1.402354894376673,0.0052527285827188575
