Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,label
2021-07-13,0.9944927536231885,0.9963768115942028,1.0339613526570048,0.99459352224001,0.9983381838057606,0.9964039267840852,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.05507246376811592
2021-07-14,1.0041055718475074,1.0074780058651027,1.0454545454545454,1.0051220705292538,1.0090918579593298,1.0078266395697348,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.05718475073313778
2021-07-15,0.9898843930635838,0.99364161849711,1.0298892100192678,0.9923067878229848,0.9950325003741396,0.9934835668295032,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.08959537572254339
2021-07-16,1.0035190615835776,1.008357771260997,1.0445014662756598,1.0056100605920488,1.0087059988073723,1.0077868147328246,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.02639296187683282
2021-07-19,1.0198804185351271,1.0278026905829596,1.063876432486298,1.0205781426707428,1.0256112415507104,1.0264727352108456,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.007473841554558991
2021-07-20,1.03,1.040151515151515,1.0770959595959595,1.028223277826521,1.0358257208767012,1.0391432024716167,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.022727272727272707
2021-07-21,1.0257186081694405,1.0373676248108925,1.073852748361069,1.0218190441878057,1.030995932554847,1.0363392848452355,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.036308623298033194
2021-07-22,0.9816473988439306,0.9903179190751444,1.0242292870905587,0.9803995656691088,0.9862563939551556,0.9902443800265174,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.005780346820809301
2021-07-23,0.9652050919377652,0.9695190947666196,1.0016030174446016,0.9669446438198804,0.9686333311593176,0.970243641981187,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.012729844413012725
2021-07-26,0.9665254237288136,0.9681497175141244,0.9992937853107344,0.9718372841070748,0.9703828045105672,0.9698937908206274,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.01836158192090398
2021-07-27,0.9440329218106996,0.9426611796982168,0.97053040695016,0.954052522051413,0.9479123055899242,0.9438575958568722,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.008230452674897082
2021-07-28,0.9435374149659864,0.9376190476190476,0.9625850340136054,0.9560344585255808,0.9458719368141264,0.9382459920909988,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.0217687074829932
2021-07-29,0.9694986072423398,0.9617688022284122,0.9845636025998142,0.982548486091,0.9712894016188668,0.961757099571354,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.0027855153203342198
2021-07-30,0.9566166439290588,0.9451568894952252,0.9630968622100956,0.9692705341833115,0.9560404090745525,0.9439750017230268,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.023192360163710735
2021-08-02,0.9809722222222222,0.9643055555555556,0.978726851851852,0.9891764790413268,0.97584489267072,0.9622970605536372,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.01805555555555549
2021-08-03,1.0388563049853372,1.0178152492668622,1.0300342130987292,1.0362388142079175,1.0273396265699937,1.015392989094719,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.06011730205278587
2021-08-04,1.0269841269841269,1.0026695526695526,1.0106541606541608,1.016192291959622,1.0099819199542348,0.999299389567651,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.051948051948051965
2021-08-05,1.0338662790697677,1.010610465116279,1.0153343023255814,1.0192906084767657,1.0156721996149924,1.0063466007732689,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.053779069767441845
2021-08-06,1.0392961876832845,1.019941348973607,1.0221896383186706,1.023120160982156,1.0222641386235989,1.0147017263253817,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.016129032258064502
2021-08-09,1.0451851851851852,1.0294814814814814,1.0306913580246913,1.0275975148967638,1.0297353586091424,1.0243975243201144,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.022222222222222143
2021-08-10,1.0371851851851852,1.0283703703703704,1.029234567901235,1.022579784915534,1.026903419693986,1.0235976054899467,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.007407407407407307
2021-08-11,1.0068017366136035,1.0052098408104198,1.0034732272069464,0.9991017225841164,1.002827948285809,0.9998997565570716,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.02894356005788712
2021-08-12,1.0229289940828403,1.0263313609467457,1.0244082840236686,1.017403659595296,1.0226914717557327,1.0213627212890497,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.023668639053254448
2021-08-13,1.0064516129032255,1.0173020527859238,1.0144672531769303,1.0069160043958651,1.0123899778823229,1.0119713181071217,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.032258064516129004
2021-08-17,1.0323216995447648,1.0520485584218513,1.0485584218512898,1.0344117029910085,1.0431786497145126,1.0457399909946603,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.01669195751138086
2021-08-18,1.0302431610942249,1.0534954407294832,1.0486828774062815,1.0294412559325326,1.0405007868776532,1.0457774824321937,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.021276595744680882
2021-08-19,1.0706539074960129,1.1028708133971292,1.0986443381180224,1.0657316395001388,1.083188337323948,1.094286438752912,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.011164274322169154
2021-08-20,1.0780844155844156,1.116396103896104,1.1154491341991342,1.0693511867915118,1.0927661303757104,1.11009522644205,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.03733766233766245
2021-08-23,1.0626817447495962,1.1038772213247172,1.1074851911685517,1.052501539076537,1.0791395330346425,1.1012818377025309,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.03392568659127626
2021-08-24,1.02234375,1.06234375,1.069322916666667,1.0146997264482087,1.0395654797634246,1.063010092078231,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.006250000000000089
2021-08-25,1.0,1.0368865030674848,1.0484151329243354,0.9967471311128948,1.0184864325097314,1.042021046889118,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,-0.0030674846625766694
2021-08-26,1.0065318818040436,1.0442457231726283,1.061456713322965,1.008753310528837,1.0296237818211176,1.0547501627037856,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.018662519440124425
2021-08-27,1.02,1.058809523809524,1.0816931216931216,1.0241926995714836,1.0460252261911258,1.0740061650401644,2021,Q3,0.0149708733841504,0.0737780129476932,0.1725315136745591,0.2794629888429587,0.232582076863882,0.0322918039728572,0.0323904114858237,0.2196068522581109,0.4276068572019986,0.3518084422047098,0.39593736769463,0.39593736769463,0.0,-0.0073867056823807,-0.0079278850371954,0.041269841269841345
