Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,label
2019-05-08,1.0131531531531532,1.0302702702702702,1.1402702702702705,1.0152253387316386,1.0359426844557005,1.1011243629686085,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.06846846846846844
2019-05-09,1.033271719038817,1.053789279112754,1.1652803450400493,1.0339523722003925,1.0567745451619892,1.1253694513925965,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.031423290203327126
2019-05-10,1.0206959706959706,1.039835164835165,1.1504884004884004,1.0200323177228954,1.0426116823408411,1.1112912844232357,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.045787545787545736
2019-05-13,1.023756906077348,1.041804788213628,1.1526396562308163,1.021000972591714,1.0437651137949564,1.1135808180542257,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.05340699815837935
2019-05-14,1.0312849162011173,1.0492551210428305,1.1612042209807572,1.0265162947444908,1.050148503948086,1.1218911581647657,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.03910614525139666
2019-05-15,1.043726235741445,1.0657794676806085,1.1809252217997466,1.0392591172658354,1.0652421859299586,1.1405870960585387,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.024714828897338448
2019-05-16,1.056116504854369,1.0816504854368931,1.2014239482200648,1.0502829057610703,1.079614461968008,1.1595409816673783,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.007766990291262155
2019-05-17,1.0583497053045188,1.08762278978389,1.2106417812704648,1.0512700961247654,1.0835464038129814,1.167530443104876,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.003929273084479323
2019-05-20,1.050984251968504,1.082972440944882,1.207775590551181,1.0436414299118737,1.0775194292534065,1.1642605762515337,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.0059055118110236116
2019-05-21,1.0540918163672657,1.0905189620758482,1.2191616766467066,1.0476372015164372,1.08375796323105,1.1746087494326418,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.03393213572854292
2019-05-22,1.0414342629482072,1.080776892430279,1.2105909694555113,1.0372684066710642,1.073827741604664,1.1666207309933858,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.0239043824701195
2019-05-23,1.0299603174603174,1.0695436507936509,1.1999669312169312,1.0271245781637568,1.0629411375118372,1.156680094020365,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.031746031746031855
2019-05-24,1.0107843137254902,1.051764705882353,1.1797712418300654,1.0123060760340108,1.0456325240722086,1.1383812046219728,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.01764705882352935
2019-05-27,1.0224,1.0671,1.1967333333333332,1.026633616181111,1.0602075388818764,1.1558652605598412,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.020000000000000018
2019-05-28,1.0113545816733067,1.0572709163346614,1.1854913678618857,1.0184446347002896,1.0506518326103038,1.1463008682161622,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.005976095617529875
2019-05-29,1.021255060728745,1.0662955465587045,1.1971997300944668,1.0285853624541603,1.0612220145977518,1.1594590533890718,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.02429149797570851
2019-05-30,1.007815631262525,1.0488977955911825,1.1780561122244488,1.0149554602789574,1.0457705724796735,1.1429939738518966,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,0.02004008016032066
2019-05-31,0.9692307692307692,1.002596153846154,1.124551282051282,0.9787001699497896,1.003200622498149,1.0936596968528909,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.02115384615384619
2019-06-03,0.950281425891182,0.9759849906191368,1.0921200750469042,0.9630422642614728,0.9807578084768794,1.064788838293811,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.0412757973733584
2019-06-04,0.9776923076923076,0.9966346153846154,1.113878205128205,0.9894604443465532,1.0047742057184397,1.0884115573084956,2019,Q2,0.0084656102241453,0.0056026879432002,-0.0508306539505658,0.0417289422483431,0.0094194562964906,0.0,0.0027948717054413,0.0015707414081922,-0.1318175768675739,-1.107723748341718,-1.0616647594537718,-1.076045807163022,-1.076045807163022,0.0092727099253062,-0.02115384615384619
